location,sublocation,station,date,start_time,water_colour,epilimnion_depth,secchi_depth,plan_therm_depth,collection_method_description,collection_authority
114,LA,CB,2011-05-04,13:04,BROWN ORANGE,4.50,3.00,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-05-19,07:43,ORANGE YELLOW,1.00,2.75,2.38,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-06-02,07:49,ORANGE YELLOW,4.50,2.25,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-06-16,07:47,ORANGE YELLOW,2.00,1.50,2.62,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-06-29,10:00,GREEN YELLOW,1.25,1.50,3.62,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-07-14,08:02,BROWN YELLOW,3.25,1.25,3.88,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-07-28,07:37,BROWN GREEN,3.25,1.25,3.62,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-08-11,08:35,YELLOW BROWN,4.50,1.00,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-08-25,07:46,GREEN YELLOW,3.50,0.75,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-09-08,07:38,LIGHT YELLOW,1.00,0.75,1.12,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-09-22,07:48,LIGHT GREEN,4.50,0.50,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-10-06,07:45,YELLOW GREEN,4.00,0.50,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2011-10-20,08:02,YELLOW GREEN,4.00,0.66,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-04-17,09:45,,4.00,2.75,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-05-09,07:42,YELLOW GREEN,3.75,2.50,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-05-23,08:13,YELLOW GREEN,4.00,1.25,4.12,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-06-06,07:48,GREEN YELLOW,2.00,1.50,2.62,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-06-20,07:38,YELLOW GREEN,4.00,1.50,4.12,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-07-03,13:32,LIGHT GREEN,1.00,1.75,2.88,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-07-18,07:42,YELLOW GREEN,4.00,1.25,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-08-01,07:28,YELLOW GREEN,4.00,1.25,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-08-15,07:40,YELLOW GREEN,4.25,1.25,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-08-29,08:05,LIGHT GREEN,4.50,1.75,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-09-12,08:00,LIGHT GREEN,4.00,2.00,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-09-26,07:15,LIGHT GREEN,3.50,2.25,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-10-11,07:45,GREEN YELLOW,4.00,2.75,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2012-10-24,07:49,GREEN YELLOW,4.25,3.25,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2013-06-11,08:45,GREEN YELLOW,3.00,2.25,3.38,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2013-07-09,10:10,GREEN YELLOW,4.00,2.25,4.12,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2013-07-30,09:32,YELLOW GREEN,4.50,2.50,3.50,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2013-09-04,07:45,YELLOW GREEN,4.00,3.75,3.50,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2013-10-01,08:53,YELLOW GREEN,4.00,3.00,0.25,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
114,LA,CB,2013-10-28,15:31,YELLOW GREEN,4.25,4.25,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
222,LA,CB,2012-04-24,14:35,BROWN ORANGE,2.00,2.00,2.12,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-05-09,08:20,LIGHT YELLOW,4.00,4.25,4.12,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-05-18,07:29,LIGHT GREEN,6.00,5.00,6.38,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-06-01,07:53,BLUE GREEN,4.25,4.50,4.88,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-06-15,07:50,BLUE GREEN,3.25,6.00,6.12,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-06-29,07:05,LIGHT GREEN,4.00,6.00,5.38,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-07-13,07:52,LIGHT GREEN,4.25,6.50,4.62,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-07-27,08:07,GREEN BLUE,5.00,5.50,5.88,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-08-10,08:15,BLUE GREEN,5.75,6.25,6.38,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-08-24,08:02,BLUE GREEN,6.50,6.25,6.88,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-09-07,08:05,LIGHT GREEN,7.00,7.00,7.62,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-09-21,08:10,LIGHT GREEN,8.75,5.75,8.88,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-10-05,07:50,BLUE GREEN,9.25,7.25,9.88,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-10-19,07:59,BLUE GREEN,11.25,6.00,11.62,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2011-11-09,09:09,YELLOW GREEN,27.00,5.50,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2012-04-25,07:50,BLUE GREEN,13.00,3.50,,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
224,LA,CB,2012-05-07,07:52,GREEN BLUE,4.25,5.00,4.38,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",SandilandsK
